"","ID","Description","Calories","Protein","TotalFat","Carbohydrate","Sodium","SaturatedFat","Cholesterol","Sugar","Calcium","Iron","Potassium","VitaminC","VitaminE","VitaminD"
"123",1135,"EGG,WHITE,DRIED,FLAKES,GLUCOSE RED",351,76.92,0.04,4.17,1156,0,0,4.17,83,0.23,1042,0,0,NA
"124",1136,"EGG,WHITE,DRIED,PDR,GLUCOSE RED",376,82.4,0.04,4.47,1238,0,0,4.47,89,0.24,1116,0,0,0
"152",1173,"EGG,WHITE,DRIED",382,81.1,0,7.8,1280,0,0,5.4,62,0.15,1125,0,0,NA
"4160",15018,"COD,ATLANTIC,DRIED&SALTED",290,62.82,2.37,0,7027,0.462,152,0,160,2.5,1458,3.5,2.84,4
"4512",16122,"SOY PROTEIN ISOLATE",338,80.69,3.39,7.36,1005,0.422,0,0,178,14.5,81,0,0,0
"4550",16175,"SOY PROT ISOLATE,PROT TECHNOLOGIES INTERNATIONAL,SUPRO",388,87.75,4,0,1188,0.871,0,NA,200,16,100,0,NA,NA
"4551",16176,"SOY PROT ISOLATE,PROT TECHNOLOGIES INTERNATIONAL,PROPLUS",380,86,4,0,40,0.4,0,NA,200,18,1600,0,NA,NA
"4659",16421,"SOY PROT CONC,CRUDE PROT BASIS (N X 6.25),ACID WASH",328,63.63,0.46,25.41,900,0.052,0,NA,363,10.78,450,0,NA,0
"4660",16422,"SOY PROT ISOLATE,K TYPE",326,80.69,0.53,10.22,50,0.077,0,0,178,14.5,1590,0,0,0
"4661",16423,"SOY PROT ISOLATE,K TYPE,CRUDE PROT BASIS",321,88.32,0.53,2.59,50,0.066,0,0,178,14.5,1590,0,0,0
"5661",19177,"GELATINS,DRY PDR,UNSWTND",335,85.6,0.1,0,196,0.07,0,0,55,1.11,16,0,0,0
"6695",35009,"WHALE,BELUGA,MEAT,DRIED (ALASKA NATIVE)",327,69.86,5.34,0,220,1.204,122,0,22,72.35,800,0,0.27,NA
"6717",35040,"FISH,HERRING EGGS,PACIFIC,DRY (ALASKA NATIVE)",312,60.4,6.6,2.8,NA,NA,NA,NA,29,NA,NA,NA,NA,NA
"6730",35055,"SEAL,BEARDED (OOGRUK),MEAT,DRIED (ALASKA NATIVE)",351,82.6,2.3,0,NA,0.6,NA,0,NA,49.6,NA,NA,NA,NA
"6800",35175,"SEAL,BEARDED (OOGRUK),MEAT,PART DRIED (ALASKA NATIVE)",270,62.38,2.31,0,130,NA,NA,0,9,33,960,0,0.07,NA
"6805",35180,"STEELHEAD TROUT,DRIED,FLESH (SHOSHONE BANNOCK)",382,77.27,8.06,0,2850,0.829,227,0,85,2.96,1720,0,2.41,15.7
"7053",48052,"VITAL WHEAT GLUTEN",370,75.16,1.85,13.79,29,0.272,0,0,142,5.2,100,0,0,0
